objectid,title,format,filename,date,subject,location,latitude,longitude,description,parentid
item11,"Map 10 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map10-STCFIP-1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 10), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item12,"Map 11 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map11-STCFIP-1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 11), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item13,"Map 12 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map12-STCFIP-1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 12), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item14,"Map 13 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map13-STCFIP-1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 13), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item15,"Map 14 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map14-STCFIP-1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 14), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item16,"Map 15 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map15-STCFIP-1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 15), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item17,"Map 16 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map16-STCFIP-1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 16), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item18,"Map 17 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map17-STCFIP-1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 17), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item19,"Map 18 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map18-STCFIP-1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 18), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item20,"Map 19 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map19-STCFIP-1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 19), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item21,"Map 20 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map20-STCFIP-1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 20), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item22,"Map 21 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map21-STCFIP-1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 21), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item23,"Map 22 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map22-STCFIP-1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 22), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item24,"Map 23 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map23-STCFIP-1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 23), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item25,"Map 24 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map24-STCFIP-1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 24), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item26,"Map 25 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map25-STCFIP-1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 25), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item27,"Map 26 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map26-STCFIP-1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 26), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item28,"Map 27 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map27-STCFIP-1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 27), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item29,"Map 28 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map28-STCFIP-1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 28), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item30,"Map 29 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map29-STCFIP-1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 29), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item31,"Map 30 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map30-STCFIP-1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 30), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item32,"Map 31 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map31_FIPStCatharines1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 31), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item33,"Map 32 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map32_FIPStCatharines1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 32), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item34,"Map 33 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map33_FIPStCatharines1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 33), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item35,"Map 34 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map34_FIPStCatharines1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 34), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item36,"Map 35 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map35_FIPStCatharines1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 35), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item37,"Map 36 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map36_FIPStCatharines1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 36), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item38,"Map 37 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map37_FIPStCatharines1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 37), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item39,"Map 38 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map38_FIPStCatharines1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 38), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item40,"Map 39 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map39_FIPStCatharines1913.jpg,1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario (Map 39), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
